salt_names,side_effects
 Benserazide ,"Vomiting, Nausea, Constipation, Anxiety, Dizziness, Insomnia (difficulty in sleeping), Orthostatic hypotension (sudden lowering of blood pressure on standing), Dryness in mouth, Abnormality of voluntary movements, Headache, Abnormal dreams"
 Benzocaine ,Limited data available
 Benzoic Acid ,"Stomach pain, Flatulence"
 Benzoyl Peroxide ,"Erythema (skin redness), Skin peeling, Burning sensation at the site of application, Dry skin, Skin irritation"
 Betamethasone ,"Eye irritation, Eye discomfort"
 Boric Acid ,"Eye irritation, Burning sensation in eye, Stinging in the eyes, Burning eyes, Eye discomfort, Fluid overload"
 Brimonidine ,"Tiredness, Stinging sensation, Burning sensation in eye, Itching, Blurred vision, Foreign body sensation, Dryness in mouth, Drowsiness, Headache, Eye redness"
 Bromelain ,"Indigestion, Vomiting, Nausea, Stomach pain, Photosensitivity, Loss of appetite, Burning sensation at the site of application, Diarrhea, Heartburn"
 Bromhexine ,"Indigestion, Increased heart rate, Tremor, Hives, Stomach pain/epigastric pain, Skin rash, Sweating, Vomiting, Nausea, Stomach pain, Palpitations, Impaired coordination, Sleepiness, Diarrhea, Thickened respiratory tract secretions, Dizziness, Upset stomach, Bloating, Allergic reaction, Headache, Rash"
 Budesonide ,"Increased heart rate, Fungal infection of mouth, Hoarseness of voice, Vomiting, Nausea, muscle or joint) pain, Sore throat, Respiratory tract infection, Headache, Musculoskeletal (bone, Cough"
 Caffeine ,"Increased heart rate, Vomiting, Fatigue, Insomnia (difficulty in sleeping), Nausea, Allergic reaction, Dryness in mouth, Restlessness, Drowsiness, Headache"
 Calcipotriol ,"Rash, Itching"
 Calcitriol ,"Indigestion, Diarrhea, Back pain, muscle or joint) pain, Headache, Musculoskeletal (bone, Heartburn"
 Calcium ,"Vomiting, Nausea, Photosensitivity, Stomach pain, Diarrhea"
 Calcium Chloride ,No common side effects seen
 Calcium Dobesilate ,"Vertigo, Nausea, Fever, Stomach cramp, Skin rash, Headache, Diarrhea"
 Calcium Phosphate ,Limited data available
 Carbidopa ,"Urine discoloration, Vomiting, Nausea, Constipation, Dizziness, Anxiety, Insomnia (difficulty in sleeping), Orthostatic hypotension (sudden lowering of blood pressure on standing), Dryness in mouth, Sleepiness, Abnormality of voluntary movements, Headache, Abnormal dreams"
 Carboxymethylcellulose ,"Photophobia, Eye irritation, Blurred vision, Stinging in the eyes, Eye pain"
 Cefepime ,"Injection site pain, Vomiting, Nausea, Vertigo, Ringing in ear, Hearing loss, Injection site inflammation, Allergic reaction, Rash, Injection site reaction, Abnormal kidney function test"
 Cefixime ,"Flatulence, Dizziness, Nausea, Stomach pain, Headache, Diarrhea"
 Cetalkonium Chloride ,No common side effects seen
 Cetirizine ,"Hives, Fatigue, Loss of appetite, Dryness in mouth, Increased liver enzymes, Vomiting, Nausea, Stomach pain, Palpitations, High blood pressure, Sleepiness, Diarrhea, Dizziness, Upset stomach, Allergic reaction, Restlessness, Headache, Insomnia (difficulty in sleeping), Rash"
 Chloramphenicol ,"itching and redness), Burning sensation, Stinging sensation, Application site irritation, irritation, Blurred vision, Itching, Irritation, Dryness in mouth, Application site reactions (burning, Eye redness"
 Chlorbutol ,"Photophobia, Eye irritation, Blurred vision, Burning eyes, Stinging in the eyes, No common side effects seen"
 Chlordiazepoxide ,"Increased heart rate, Fatigue, Memory impairment, Orthostatic hypotension (sudden lowering of blood pressure on standing), Difficulty in urination, Dryness in mouth, Muscle pain, Tiredness, Constipation, Stomach pain, Depression, Nausea, Impaired coordination, Sleepiness, Drowsiness, Confusion, Weight gain, Dizziness, Uncoordinated body movements, Headache, Nervousness, Blurred vision, Weakness"
 Chlorhexidine Gluconate ,"Stinging sensation, Staining of teeth, Taste change"
 Chlorocresol ,"Irritation, Erythema (skin redness), Itching, Burning sensation at the site of application"
 Chlorpheniramine Maleate ,"Indigestion, Hives, Burning sensation, Loss of appetite, Skin rash, Increased thirst, Sweating, Vomiting, Nausea, Stinging sensation, Stomach pain, Stinging in the eyes, Stomach discomfort, Sleepiness, Diarrhea, Dizziness, Itching, Upset stomach, Burning eyes, Bloating, Allergic reaction, Restlessness, Headache, Photophobia, Eye irritation, Nervousness, Insomnia (difficulty in sleeping), Blurred vision, Irritation, Rash"
 Chlorthalidone ,"Indigestion, ears, Nausea, Tiredness, Stomach pain, Glucose intolerance, Palpitations, Sleepiness, neck and trunk), Flushing (sense of warmth in the face, Ankle swelling, Diarrhea, Cough, Dizziness, Upset stomach, Increased blood uric acid, Headache, Altered blood lipid level, Taste change, Decreased blood pressure, Electrolyte imbalance, Increased blood lipid level, Weakness"
 Chlorzoxazone ,"Indigestion, Vomiting, Nausea, Dizziness, Stomach pain, Tiredness, Loss of appetite, Upset stomach, Sleepiness, Diarrhea, Heartburn, Weakness"
 Chondroitin ,"Nausea, Constipation, Diarrhea, Heartburn"
 Cilastatin ,"Nausea, Diarrhea, Rash, Vomiting"
 Cilnidipine ,"ears, Altered blood lipid level, Dizziness, Tiredness, Taste change, Palpitations, Glucose intolerance, Upset stomach, Increased potassium level in blood, Sleepiness, neck and trunk), Increased blood uric acid, Flushing (sense of warmth in the face, Headache, Ankle swelling"
 Citrus Bioflavonoid ,"Sinus pain, Tiredness, muscle or joint) pain, Stomach pain, Anemia (low number of red blood cells), Nasal congestion (stuffy nose), Musculoskeletal (bone, Headache, Sinus inflammation"
 Clarithromycin ,"Indigestion, Flatulence, Vomiting, Nausea, Tiredness, Stomach pain, Dizziness, Taste change, Rash, Dryness in mouth, Metallic taste, Headache, Diarrhea"
 Clavulanic Acid ,"Indigestion, Flatulence, Vomiting, Nausea, Stomach pain, Allergic reaction, Rash, Headache, Diarrhea, Increased liver enzymes"
 Clidinium ,"Flu-like symptoms, Flatulence, Headache, Nausea, Constipation, Stomach pain, Dizziness, Memory impairment, Blurred vision, Depression, Difficulty in urination, Impaired coordination, Dryness in mouth, Sleepiness, Drowsiness, Confusion, Diarrhea, Weakness"
 Clindamycin ,"Erythema (skin redness), Skin peeling, Itching, Burning sensation at the site of application, Dry skin"
 Clioquinol ,"Thinning of skin, irritation, itching and redness), Application site reactions (burning"
 Clobetasol ,"itching and redness), Thinning of skin, Skin peeling, irritation, Itching, Burning sensation at the site of application, Irritation, Rash, Application site reactions (burning"
 Clomiphene ,"Ovarian hyperstimulation syndrome, Vomiting, Nausea, Blurred vision, Upset stomach, Hot flashes, Rash, Ovarian cysts"
 Clonazepam ,"Anorgasmia (decreased orgasm), Headache, Vomiting, Nausea, Constipation, Memory impairment, Insomnia (difficulty in sleeping), Tiredness, Depression, Erectile dysfunction, Low sexual desire, Ejaculation disorder, Uncoordinated body movements, Delayed ejaculation, Drowsiness, Confusion, Diarrhea"
 Clopidogrel ,"Indigestion, Bruise, Muscle pain, Abdominal pain, Nausea, Increased bleeding tendency, Gastrointestinal bleeding, Nosebleeds, Headache, Diarrhea, Weakness"
 Clotrimazole ,"Erythema (skin redness), itching and redness), Thinning of skin, Ear discomfort, irritation, Itching, Irritation of ear, Application site irritation, Burning sensation at the site of application, Burning sensation in eye, Irritation, Vaginal burning sensation, No common side effects seen, Application site reactions (burning"
 Cloxacillin ,"Vomiting, Nausea, Stomach pain, Allergic reaction, Rash, Diarrhea"
 Coal Tar ,"Application site irritation, Skin staining"
 Codeine ,"Sweating, Vomiting, Nausea, Constipation, Dizziness, Lightheadedness, Sleepiness, Breathlessness"
 Collagen Peptide ,No common side effects seen
 Copper ,No common side effects seen
 Copper Sulphate ,No common side effects seen
 Cyanocobalamin ,"Vomiting, Nausea, Constipation, Dark colored stool, No common side effects seen, Diarrhea"
 Cyproheptadine ,"Constipation, Blurred vision, Dryness in mouth, Sleepiness"
 Dapoxetine ,"Indigestion, ears, Vomiting, Nausea, Dizziness, Nosebleeds, Dryness in mouth, neck and trunk), Flushing (sense of warmth in the face, Headache"
 Deflazacort ,"Dizziness, Ejaculation disorder, Runny nose"
 Desogestrel ,"Breast pain, Nausea, Stomach pain, Irregular uterine bleeding, Headache, Weight gain"
 Dexamethasone ,"Eye irritation, Burning sensation, Stinging sensation, Burning sensation in eye, Application site irritation, Blurred vision, Itching, Irritation, Foreign body sensation, Dryness in mouth, Eye discomfort, Increased sensitivity to light, Eye redness"
 Dextromethorphan Hydrobromide ,"Indigestion, Hives, Fatigue, Sore tongue, Loss of appetite, Dryness in mouth, Sweating, Vomiting, Nausea, Stomach pain, Stomach discomfort, Sleepiness, Drowsiness, Diarrhea, Dizziness, Upset stomach, Bloating, Allergic reaction, Restlessness, Headache, Nervousness, Insomnia (difficulty in sleeping), Rash"
 Dextropropoxyphene ,"Vomiting, Nausea, Nervousness, Blurred vision, Dryness in mouth, Sleepiness, Weakness"
 Dextrose ,No common side effects seen
 Diacerein ,"Indigestion, Urine discoloration, Nausea, Constipation, Diarrhea, Heartburn"
 Diastase ,No common side effects seen
 Diclofenac ,"Indigestion, Vomiting, Nausea, Nervousness, Dizziness, Stomach pain, Loss of appetite, Blurred vision, Stomach pain/epigastric pain, Feeling thirsty, Dryness in mouth, Sleepiness, Diarrhea, Heartburn, Weakness"
 Dicloxacillin ,"Vomiting, Nausea, Stomach pain, Allergic reaction, Rash, Diarrhea"
 Dicyclomine ,"Flatulence, Fatigue, Memory impairment, Difficulty in urination, Dryness in mouth, Muscle pain, Nausea, Constipation, Stomach pain, Tiredness, Depression, Impaired coordination, Sleepiness, Drowsiness, Confusion, Diarrhea, Flu-like symptoms, Dizziness, Headache, Nervousness, Blurred vision, Dark colored urine, Abnormality of voluntary movements, Weakness"
 Diethylcarbamazine ,"Nausea, Fatigue, Dizziness, Loss of appetite, Allergic reaction, Sleepiness, Dryness in mouth, Headache"
 Diloxanide ,"Flatulence, Nausea, Dizziness, Loss of appetite, Dryness in mouth, Metallic taste, Headache"
 Dimenhydrinate ,"Drowsiness, Headache, Stomach pain, Dryness in mouth"
 Dimethicone ,"Nausea, Constipation, Stomach pain, Dizziness, Nervousness, Blurred vision, Bloating, Allergic reaction, Dryness in mouth, Sleepiness, Diarrhea, Weakness"
 Diphenhydramine ,"Indigestion, Hives, Stomach pain/epigastric pain, Skin rash, Sweating, Vomiting, Nausea, Impaired coordination, Sleepiness, Diarrhea, Thickened respiratory tract secretions, Dizziness, Upset stomach, Bloating, Allergic reaction, Restlessness, Headache, Insomnia (difficulty in sleeping), Rash"
 Diphenoxylate ,"Indigestion, Urine discoloration, Dizziness, Constipation, Flushing of skin, Blurred vision, Difficulty in urination, Dryness in mouth, Drowsiness, Confusion, Bronchoconstriction (constriction of air passages), Cough"
 Dithranol ,"Application site irritation, Skin staining"
 Domperidone ,"Indigestion, Flu-like symptoms, Dryness in mouth"
 Doxycycline ,"Vomiting, Nausea, Photosensitivity, Stomach pain, Diarrhea"
 Drospirenone ,"Breast pain, Nausea, Stomach pain, Irregular uterine bleeding, Headache, Weight gain"
 Dutasteride ,"Breast pain, Dizziness, Retrograde ejaculation, Ejaculation disorder, Decreased libido, Headache, Impotence"
 Efavirenz ,"Nightmare, Flatulence, Nausea, Depression, Dizziness, Insomnia (difficulty in sleeping), Impaired concentration, Fatigue, Cough, Pain, Rash, Abnormal dreams, Nasal congestion (stuffy nose), Drowsiness, Headache, Diarrhea, Weakness"
 Entacapone ,"Urine discoloration, Vomiting, Nausea, Constipation, Insomnia (difficulty in sleeping), Orthostatic hypotension (sudden lowering of blood pressure on standing), Anxiety, Dizziness, Dryness in mouth, Abnormality of voluntary movements, Headache, Abnormal dreams"
 Escitalopram Oxalate ,"Anorgasmia (decreased orgasm), Vomiting, Tiredness, Memory impairment, Nausea, Low sexual desire, Uncoordinated body movements, Delayed ejaculation, Drowsiness, Confusion, Diarrhea"
 Esomeprazole ,"Flatulence, Vomiting, Nausea, Constipation, Taste change, Stomach pain, Upset stomach, Rash, Dryness in mouth, Sleepiness, Headache, Diarrhea"
 Ethambutol ,"Increased sputum production, Sweating, Vomiting, Nausea, Peripheral neuropathy (tingling and numbness of feet and hand), Jaundice, Fever, Visual impairment, Increased uric acid level in blood, Watery eyes, Dark colored urine, Rash, Increased liver enzymes, Gout, Salivation"
 Ethamsylate ,"Sinus pain, Nausea, Tiredness, Stomach pain, muscle or joint) pain, Anemia (low number of red blood cells), Sinus inflammation, Nasal congestion (stuffy nose), Rash, Musculoskeletal (bone, Headache, Diarrhea"
 Ethinyl Estradiol ,"Breast pain, Nausea, Stomach pain, Headache, Mood changes"
 Ethylmorphine ,"Sweating, Vomiting, Nausea, Dizziness, Nervousness, Blurred vision, Dryness in mouth, Sleepiness, Breathlessness, Weakness"
 Etofylline ,"Increased heart rate, Tremor, Vomiting, Nausea, Palpitations, Stomach discomfort, Allergic reaction, Restlessness, Headache, Muscle cramp"
 Fexofenadine ,"Flu-like symptoms, Vomiting, Nausea, Dizziness, Skin rash, Drowsiness, Headache, Diarrhea"
 Fibrinogen ,Fever
 Finasteride ,"Low sexual desire, Ejaculation disorder, Breast pain, Impotence"
 Flavoxate ,"Vomiting, Nausea, Dizziness, Stomach pain, Headache"
 Fluconazole ,"Indigestion, Vomiting, Dizziness, Nausea, Taste change, Stomach pain, Loss of appetite, Rash, Headache, Diarrhea, Vaginal itching"
 Fluorometholone ,"Eye irritation, Eye discomfort"
 Fluticasone Propionate ,"Increased heart rate, Fungal infection of mouth, Hoarseness of voice, Vomiting, Nausea, Sore throat, muscle or joint) pain, Respiratory tract infection, Headache, Musculoskeletal (bone, Cough"
 Folic Acid ,"Sore throat, Photosensitivity, Dark colored stool, Dryness in mouth, Mood changes, Increased risk of infection, Mouth sore, Vomiting, Nausea, Tiredness, Stomach pain, Decreased white blood cell count, Constipation, Hair loss, High blood pressure, Sleepiness, Drowsiness, Diarrhea, Dizziness, Lightheadedness, Upset stomach, Allergic reaction, Uncoordinated body movements, No common side effects seen, Headache, Facial hair growth, Breast pain, Acne, Fever, Menstrual disorder, Weakness"
 Fructo Oligosaccharide ,"Bloating, Flatulence, Stomach cramp"
 Furazolidone ,"Indigestion, Urine discoloration, Dizziness, Constipation, Flushing of skin, Blurred vision, Difficulty in urination, Dryness in mouth, Drowsiness, Confusion, Bronchoconstriction (constriction of air passages), Cough"
 Fusidic Acid ,"Thinning of skin, irritation, itching and redness), Application site reactions (burning"
 Gatifloxacin ,"Eye irritation, Watery eyes, Burning sensation"
 Gentamicin ,"itching and redness), Burning sensation, Thinning of skin, Skin peeling, irritation, Application site irritation, Ear discomfort, Application site reactions (burning"
 Ginkgo Biloba ,"Nervousness, Weight gain, Abnormality of voluntary movements"
 Glycerin ,"Irritation, Eye pain, Burning sensation"
 Glycopyrrolate ,"Indigestion, Inflammation of the nose, Increased glucose level in blood, Sore throat, Urinary retention, Dizziness, Fever, High blood pressure, Allergic reaction, Headache, Sinus inflammation, Urinary tract infection, Nasopharyngitis (inflammation of the throat and nasal passages), Chest pain, Cough"
 Guaifenesin ,"Increased heart rate, Indigestion, Tremor, Hives, Loss of appetite, Skin rash, Increased white blood cell count, Nasal inflammation, Sweating, Vomiting, Nausea, Constipation, Stomach pain, Palpitations, Sleepiness, Drowsiness, Diarrhea, Dizziness, Itching, Upset stomach, Bloating, Allergic reaction, Headache, Muscle cramp, Insomnia (difficulty in sleeping), Breathing problems, Rash, Heartburn"
 Haemophilus Influenzae Type B Capsular Polysaccharide ,"Injection site redness, Swelling, Vomiting, Fever, Loss of appetite, Irritation, Pain, Unusual crying, Drowsiness, Tenderness"
 Haemophilus Type B Conjugate Vaccine ,"Injection site redness, Vomiting, Fever, Loss of appetite, Unusual crying, Irritation, Injection site reaction, Drowsiness, Tenderness"
 Heparin ,"No common side effects seen, irritation, itching and redness), Application site reactions (burning"
 Hepatitis B Vaccine ,"Injection site redness, Swelling, Vomiting, Fever, Loss of appetite, Unusual crying, Irritation, Pain, Injection site reaction, Drowsiness"
 Human ,"Injection site redness, Joint pain, Swelling of lymph nodes, Pain, Injection site swelling"
 Human Antitetanus Immunoglobulin ,"Injection site redness, Pain, Swelling, Fever"
 Hydralazine ,"Increased heart rate, Drug-induced lupus syndrome, ears, Feet swelling, Vomiting, Nausea, Dizziness, Decreased blood pressure, Orthostatic hypotension (sudden lowering of blood pressure on standing), Palpitations, Loss of appetite, Swelling of hands, neck and trunk), Flushing (sense of warmth in the face, Headache, Diarrhea, Chest pain"
 Hydrochlorothiazide ,"Indigestion, ears, Nausea, Tiredness, Stomach pain, Glucose intolerance, Palpitations, Sleepiness, neck and trunk), Flushing (sense of warmth in the face, Ankle swelling, Diarrhea, Cough, Dizziness, Increased uric acid level in blood, Upset stomach, Increased blood uric acid, Headache, Altered blood lipid level, Taste change, Decreased blood pressure, Electrolyte imbalance, Increased blood lipid level, Weakness"
 Hydrocortisone ,"Eye irritation, itching and redness), Burning sensation, Burning sensation in eye, irritation, Application site irritation, Eye discomfort, Application site reactions (burning"
 Hydroxypropylmethylcellulose ,"Photophobia, Eye irritation, Blurred vision, Stinging in the eyes, Burning eyes, Eye pain, Eye discomfort"
 Ibandronic Acid ,"Indigestion, Diarrhea, Back pain, muscle or joint) pain, Headache, Musculoskeletal (bone, Heartburn"
 Ifosfamide ,"Increased risk of infection, Vomiting, Nausea, Blood in urine, Hair loss, Decreased white blood cell count, Anemia (low number of red blood cells), Neurotoxicity"
 Indapamide ,"Indigestion, Numbness, Vomiting, Nausea, Constipation, Stomach pain, Vertigo, Dizziness, Ringing in ear, Itching, Fatigue, Allergic reaction, Cramps, Skin rash, Headache, Diarrhea, Breathlessness, Altered vision"
 Insulin Aspart ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Edema (swelling), Hypoglycemia (low blood glucose level), Weight gain"
 Insulin Lispro Protamine ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Hypoglycemia (low blood glucose level)"
 Ipratropium ,"Nasal irritation, Tremor, Nasal discomfort, Dry nose, Sneezing, Palpitations, Muscle cramp, Dryness in mouth, Bitter taste, Headache, Breathlessness, Cough"
 Isoniazid ,"Peripheral neuropathy (tingling and numbness of feet and hand), Jaundice, Vomiting, Nausea, Sweating, Increased sputum production, Fever, Visual impairment, Increased uric acid level in blood, Salivation, Watery eyes, Rash, Dark colored urine, Gout, Increased liver enzymes"
 Ispaghula ,"Bloating, Flatulence, Stomach cramp"
 Itopride ,"Flatulence, Increased saliva production, Dizziness, Stomach pain, Headache, Diarrhea"
 Ivermectin ,"Indigestion, Nausea, Dizziness, Stomach pain, Taste change, Swelling of lymph nodes, Itching, Headache, Diarrhea"
 Ketoconazole ,"Thinning of skin, irritation, itching and redness), Application site reactions (burning"
 Lactic Acid ,"irritation, itching and redness), Application site reactions (burning"
 Lactobacillus ,"Vomiting, Nausea, Photosensitivity, Stomach pain, Taste change, Rash, Headache, Diarrhea, Vaginal itching"
 Lansoprazole ,"Indigestion, Flatulence, Vomiting, Nausea, Tiredness, Stomach pain, Dizziness, Dryness in mouth, Skin rash, Metallic taste, Headache, Diarrhea"
 Levocetirizine ,"Hives, Fatigue, Loss of appetite, Dryness in mouth, Skin rash, Increased white blood cell count, Vomiting, Nausea, Sleepiness, Diarrhea, Flu-like symptoms, Dizziness, Itching, Upset stomach, Allergic reaction, Headache, Insomnia (difficulty in sleeping), Breathing problems, Rash"
 Levodropropizine ,"Exhaustion, Vomiting, Dizziness, Constipation, Impaired coordination, Dryness in mouth, Sleepiness, Difficulty in paying attention"
 Levonorgestrel ,"Nausea, Headache, Irregular uterine bleeding, Breast pain"
 Levosalbutamol ,"Increased heart rate, Tremor, Hives, Vomiting, Nausea, Dizziness, Stomach pain, Palpitations, Upset stomach, Allergic reaction, Rash, Headache, Diarrhea, Muscle cramp"
 Lidocaine ,"itching and redness), irritation, Rash, No common side effects seen, Application site reactions (burning"
 Liquid Paraffin ,"Stomach pain, Diarrhea"
 Lopinavir ,"Peripheral neuropathy (tingling and numbness of feet and hand), Vomiting, Nausea, Taste change, Stomach pain, Increased blood lipid level, Headache, Diarrhea, Increased liver enzymes"
 Losartan ,"Indigestion, Nausea, Constipation, Stomach pain, Glucose intolerance, Numbness of extremity, Diarrhea, Cough, Dizziness, Cold extremities, Upset stomach, Increased potassium level in blood, Increased blood uric acid, Headache, Slow heart rate, Taste change, Decreased blood pressure, Increased blood lipid level, Weakness"
 Lumefantrine ,"Joint pain, Muscle pain, Dizziness, Loss of appetite, Headache, Weakness"
 Luvistin ,No common side effects seen
 Lysine ,No common side effects seen
 Magnesium ,"Constipation, Diarrhea, Allergic reaction"
 Magnesium Citrate ,"Nausea, Diarrhea, Stomach pain, Vomiting"
 Magnesium Trisilicate ,"Constipation, Diarrhea, Allergic reaction"
 Manganese ,No common side effects seen
 Manganese Sulphate ,No common side effects seen
 Mannitol ,No common side effects seen
 Mefenamic Acid ,"Indigestion, Loss of appetite, Dryness in mouth, Sinus inflammation, Vomiting, Nausea, Tiredness, Stomach pain, Sinus pain, Sleepiness, Musculoskeletal (bone, Diarrhea, Dizziness, Anemia (low number of red blood cells), Headache, Nervousness, muscle or joint) pain, Blurred vision, Feeling thirsty, Nasal congestion (stuffy nose), Heartburn, Weakness"
 Mefloquine ,"Muscle pain, Vomiting, Nausea, Dizziness, Stomach pain, Insomnia (difficulty in sleeping), Tiredness, Upset stomach, Sleepiness, Skin rash, Headache"
 Melatonin ,"Ovarian hyperstimulation syndrome, Confusion, Vomiting, Nausea, Tiredness, Breast discomfort, Depression, Memory impairment, Hot flashes, Uncoordinated body movements, Drowsiness, Headache"
 Melitracen ,"Increased heart rate, Increased prolactin level in blood, Tremor, Constipation, Urinary retention, Orthostatic hypotension (sudden lowering of blood pressure on standing), Blurred vision, Muscle stiffness, Sleepiness, Dryness in mouth, Restlessness, Weight gain"
 Memantine ,"Vomiting, Nausea, Dizziness, Loss of appetite, Headache, Diarrhea, Bleeding under the skin"
 Menadione ,"Sinus pain, Tiredness, muscle or joint) pain, Stomach pain, Anemia (low number of red blood cells), Nasal congestion (stuffy nose), Musculoskeletal (bone, Headache, Sinus inflammation"
 Menadione Sodium Bisulfite ,Limited data available
 Menthol ,"Indigestion, Increased heart rate, Tremor, Hives, Stomach pain/epigastric pain, Skin rash, Breathlessness, Sweating, Vomiting, Nausea, Constipation, Stomach pain, Palpitations, Stinging in the eyes, Impaired coordination, High blood pressure, Sleepiness, Drowsiness, Confusion, Diarrhea, Thickened respiratory tract secretions, Dizziness, Lightheadedness, Upset stomach, Bloating, Allergic reaction, Eye pain, Headache, Photophobia, Eye irritation, Insomnia (difficulty in sleeping), Blurred vision, Rash"
 Metaxalone ,"Vomiting, Nausea, Loss of appetite, Stomach pain/epigastric pain, Sleepiness, Diarrhea, Heartburn"
 Metformin ,"Headache, Flatulence, Nausea, Taste change, Stomach pain, Respiratory tract infection, Upper respiratory tract infection, Skin rash, Hypoglycemia (low blood glucose level), Diarrhea"
 Methyl Sulfonyl Methane ,"Indigestion, Urine discoloration, Nausea, Constipation, Diarrhea, Heartburn"
 Methylcobalamin ,"Increased heart rate, Photosensitivity, Orthostatic hypotension (sudden lowering of blood pressure on standing), Difficulty in urination, Dryness in mouth, Increased liver enzymes, Vomiting, Nausea, Tiredness, Stomach pain, Constipation, Sleepiness, Drowsiness, Skin reaction, Diarrhea, Weight gain, Dizziness, Itching, Uncoordinated body movements, No common side effects seen, Acne, Blurred vision"
